experiment,run,aim_hash,width,n_params_M,schedule,base_lr,warmup,steps,val@200,final_val,final_train,wall_s
task3_warmup,warmup0,05bcd7f1,384,10.77,cosine,0.001,0,300,2.4968,2.4671,2.4525,27.5
task3_warmup,warmup200,7c51b625,384,10.77,cosine,0.001,200,300,2.3273,1.9999,1.9062,26.4
task3_warmup,warmup50,810afaac,384,10.77,cosine,0.001,50,300,2.1479,1.9922,1.8941,25.8
task4_schedules,cosine_300,f2864032,384,10.77,cosine,0.0015,50,300,2.0728,1.9204,1.777,49.2
task4_schedules,wsd_300,6d76c340,384,10.77,wsd,0.0015,50,300,2.0856,1.8447,1.6851,49.0
task4_schedules,wsd_replan_200,dbdb99c0,384,10.77,wsd,0.0015,50,200,,2.0412,1.9555,33.3
task5_lr_width,w1024_lr1.0e-03_s1337_coarse,cdf08a87,1024,75.91,cosine,0.001,40,220,,2.4772,2.4565,24.1
task5_lr_width,w1024_lr1.2e-03_s1337_refine,631ea5dd,1024,75.91,cosine,0.0012,40,220,,2.4895,2.4735,23.9
task5_lr_width,w1024_lr1.2e-03_s7_refine,21944f1c,1024,75.91,cosine,0.0012,40,220,,2.483,2.4683,24.0
task5_lr_width,w1024_lr1.5e-02_s1337_coarse,2b1cc6ec,1024,75.91,cosine,0.015,40,220,,3.1072,3.0582,24.0
task5_lr_width,w1024_lr2.0e-03_s1337_coarse,eeb113cd,1024,75.91,cosine,0.002,40,220,,2.5115,2.5021,24.0
task5_lr_width,w1024_lr3.0e-04_s1337_coarse,1ce933f0,1024,75.91,cosine,0.0003,40,220,,2.2585,2.2011,24.2
task5_lr_width,w1024_lr3.0e-04_s1337_refine,6d383040,1024,75.91,cosine,0.0003,40,220,,2.2585,2.2011,24.1
task5_lr_width,w1024_lr3.0e-04_s7_refine,dc8851a1,1024,75.91,cosine,0.0003,40,220,,2.2571,2.2111,24.2
task5_lr_width,w1024_lr4.0e-03_s1337_coarse,76ddbf19,1024,75.91,cosine,0.004,40,220,,2.6058,2.5983,24.0
task5_lr_width,w1024_lr4.3e-04_s1337_refine,24f4fc2c,1024,75.91,cosine,0.000426,40,220,,2.1667,2.0971,24.1
task5_lr_width,w1024_lr4.3e-04_s7_refine,9fafab98,1024,75.91,cosine,0.000426,40,220,,2.1748,2.108,24.2
task5_lr_width,w1024_lr6.0e-04_s1337_coarse,2ff5c2df,1024,75.91,cosine,0.0006,40,220,,2.1922,2.1318,24.2
task5_lr_width,w1024_lr6.0e-04_s1337_refine,8a0ad156,1024,75.91,cosine,0.0006,40,220,,2.1922,2.1318,24.2
task5_lr_width,w1024_lr6.0e-04_s7_refine,2e8bb889,1024,75.91,cosine,0.0006,40,220,,2.1707,2.1201,23.9
task5_lr_width,w1024_lr8.0e-03_s1337_coarse,1967509f,1024,75.91,cosine,0.008,40,220,,2.7613,2.7482,23.9
task5_lr_width,w1024_lr8.5e-04_s1337_refine,46be1032,1024,75.91,cosine,0.000846,40,220,,2.356,2.3306,24.0
task5_lr_width,w1024_lr8.5e-04_s7_refine,89ea7cc4,1024,75.91,cosine,0.000846,40,220,,2.3641,2.3376,23.9
task5_lr_width,w256_lr1.0e-03_s1337_coarse,b009dc8d,256,4.82,cosine,0.001,40,220,,2.4115,2.383,10.3
task5_lr_width,w256_lr1.0e-03_s1337_refine,68a3278d,256,4.82,cosine,0.001,40,220,,2.4115,2.383,9.8
task5_lr_width,w256_lr1.0e-03_s7_refine,bf4aa8c4,256,4.82,cosine,0.001,40,220,,2.4045,2.3912,10.1
task5_lr_width,w256_lr1.4e-03_s1337_refine,1a2838d0,256,4.82,cosine,0.00141,40,220,,2.4009,2.3718,10.1
task5_lr_width,w256_lr1.4e-03_s7_refine,42d8cf3d,256,4.82,cosine,0.00141,40,220,,2.3965,2.3817,10.0
task5_lr_width,w256_lr1.5e-02_s1337_coarse,d0661fb4,256,4.82,cosine,0.015,40,220,,2.5758,2.5724,9.7
task5_lr_width,w256_lr2.0e-03_s1337_coarse,4a9f60ea,256,4.82,cosine,0.002,40,220,,2.4148,2.3819,9.9
task5_lr_width,w256_lr2.0e-03_s1337_refine,b889e9b4,256,4.82,cosine,0.002,40,220,,2.4148,2.3819,10.5
task5_lr_width,w256_lr2.0e-03_s7_refine,25e098ff,256,4.82,cosine,0.002,40,220,,2.4022,2.3814,10.1
task5_lr_width,w256_lr3.0e-04_s1337_coarse,0c3ddaea,256,4.82,cosine,0.0003,40,220,,2.4595,2.4407,11.4
task5_lr_width,w256_lr4.0e-03_s1337_coarse,038c190f,256,4.82,cosine,0.004,40,220,,2.4339,2.3995,9.7
task5_lr_width,w256_lr5.0e-04_s1337_refine,698e79f2,256,4.82,cosine,0.0005,40,220,,2.441,2.4152,10.3
task5_lr_width,w256_lr5.0e-04_s7_refine,ed07dc1e,256,4.82,cosine,0.0005,40,220,,2.4292,2.4139,9.6
task5_lr_width,w256_lr6.0e-04_s1337_coarse,1bf64247,256,4.82,cosine,0.0006,40,220,,2.4323,2.4061,10.2
task5_lr_width,w256_lr7.1e-04_s1337_refine,e0cd3e02,256,4.82,cosine,0.00071,40,220,,2.4257,2.3975,9.8
task5_lr_width,w256_lr7.1e-04_s7_refine,5872aed4,256,4.82,cosine,0.00071,40,220,,2.4143,2.3997,10.0
task5_lr_width,w256_lr8.0e-03_s1337_coarse,6a9d8c65,256,4.82,cosine,0.008,40,220,,2.4794,2.4675,10.3
task5_lr_width,w512_lr1.0e-03_s1337_coarse,e4ce546d,512,19.08,cosine,0.001,40,220,,2.3474,2.3015,11.7
task5_lr_width,w512_lr1.0e-03_s1337_refine,8ea65188,512,19.08,cosine,0.001,40,220,,2.3474,2.3015,11.5
task5_lr_width,w512_lr1.0e-03_s7_refine,60e0ad88,512,19.08,cosine,0.001,40,220,,2.2731,2.2342,11.9
task5_lr_width,w512_lr1.4e-03_s1337_refine,fe0d6b1a,512,19.08,cosine,0.00142,40,220,,2.2412,2.1902,11.9
task5_lr_width,w512_lr1.4e-03_s7_refine,c584b9cb,512,19.08,cosine,0.00142,40,220,,2.186,2.1321,11.7
task5_lr_width,w512_lr1.5e-02_s1337_coarse,e89bafd8,512,19.08,cosine,0.015,40,220,,2.803,2.783,12.0
